Q1,Q25,Q25,Q26,Q26,Q27,Q27,Q28,Q28,Q29,Q29,Q30,Q30,Q31,Q31,Q32,Q32,Q33,Q33,Q34,Q34,Q35,Q36,Q36,Q36
30,Very easily,5,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
31,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
33,Very easily,5,Very easily,5,Never tried,1,Never tried,1,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
35,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
38,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
39,Very easily,5,Very easily,5,Somewhat easily,4,Not very easily,3,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
41,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
42,Very easily,5,Very easily,5,Not very easily,3,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
43,Very easily,5,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
44,Very easily,5,Very easily,5,Not very easily,3,Not very easily,3,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
45,Very easily,5,Very easily,5,Never tried,1,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
46,Very easily,5,Very easily,5,Somewhat easily,4,Not very easily,3,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5
47,Somewhat easily,4,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Never tried,1,Very easily,5,Very easily,5,Never tried,1
48,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
49,Very easily,5,Very easily,5,Not very easily,3,Not very easily,3,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
50,Very easily,5,Very easily,5,Not very easily,3,Not very easily,3,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Never tried,5,Somewhat easily,4,Very easily,5,Very easily,5
51,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
52,Somewhat easily,4,Very easily,5,Somewhat easily,4,Not very easily,3,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
53,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
55,Very easily,5,Very easily,5,Not at all,2,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5
56,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5
57,Very easily,5,Very easily,5,Never tried,1,Not very easily,3,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
58,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
59,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
62,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
64,Very easily,5,Very easily,5,Never tried,1,Never tried,1,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
65,Very easily,5,Somewhat easily,4,Not very easily,3,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
66,Very easily,5,Very easily,5,Somewhat easily,4,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
67,Very easily,5,Very easily,5,Never tried,1,Never tried,1,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
70,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Somewhat easily,4,Very easily,5,Very easily,5,Very easily,5,Very easily,5,Very easily,5
,,,,,,,,,,,,,,,,,,,,,,,,
,Section Averages,,,,,,,,,,,,,,,,,,,,,,,
